,0,1
706,Characters from different countries,Adolf Hitler (Bart vs. Australia)
708,Characters from different countries,Ak
710,Characters from different countries,Kumiko Albertson
711,Characters from different countries,Alex Salmond
713,Characters from different countries,Anya
719,Characters from different countries,Brendan Beiderbecke
720,Characters from different countries,Benito Mussolini
721,Characters from different countries,Sideshow Bobby
722,Characters from different countries,Bono
723,Characters from different countries,Richard Branson (character)
726,Characters from different countries,Gautama Buddha
728,Characters from different countries,Caribbean Boy
729,Characters from different countries,Castro's Assistant
730,Characters from different countries,Fidel Castro
731,Characters from different countries,Cesar
732,Characters from different countries,Chemistri Guy
734,Characters from different countries,Chip
735,Characters from different countries,Circus Acrobat
736,Characters from different countries,Communist General
737,Characters from different countries,Count Dracula
738,Characters from different countries,Cuban Boxer 1
739,Characters from different countries,Cuban Boxer 2
741,Characters from different countries,Cuban clerk
742,Characters from different countries,Cyrus' 15 wives
743,Characters from different countries,Anna Maria D'Amico
744,Characters from different countries,Dalai Lama
746,Characters from different countries,Donkey meat boy
748,Characters from different countries,Edmund
751,Characters from different countries,Estonian Dwarf
752,Characters from different countries,Euro-Itchy & Scratchy Land clerk
754,Characters from different countries,Fat Tony
755,Characters from different countries,Fausto
757,Characters from different countries,Fish
758,Characters from different countries,Fit-Fat Tony
759,Characters from different countries,José Flanders
760,Characters from different countries,Fraumaker
762,Characters from different countries,Fritz
763,Characters from different countries,General Krull
766,Characters from different countries,Ginger-Haired Man
768,Characters from different countries,Hans (businessman)
769,Characters from different countries,Hawaiian bartender
770,Characters from different countries,Head Judge
771,Characters from different countries,Hermes Conrad
772,Characters from different countries,Horst
773,Characters from different countries,Mrs. Hoxha
774,Characters from different countries,Adil Hoxha
782,Characters from different countries,Itchem
785,Characters from different countries,Japanese Worker
787,Characters from different countries,Johnny Tightlips
789,Characters from different countries,Judah Ben-Hur
790,Characters from different countries,Kaiser Wilhelm II
791,Characters from different countries,Kent Brokodopolis
792,Characters from different countries,Kickley Punchson
793,Characters from different countries,Kitenge
795,Characters from different countries,Krumpet the Klown
797,Characters from different countries,Legs
798,Characters from different countries,Louie (mafia)
799,Characters from different countries,Anton Lubchenko
800,Characters from different countries,Master Sushi Chef
801,Characters from different countries,Mayan Gods
803,Characters from different countries,Mayans
806,Characters from different countries,Mikhail Gorbachev
807,Characters from different countries,Mr. Hoxha
808,Characters from different countries,Mr. Potato Head
809,Characters from different countries,Mrs. Gumble
810,Characters from different countries,Mrs. Szyslak
811,Characters from different countries,Nadia Comăneci
812,Characters from different countries,Apu Nahasapeemapetilon
813,Characters from different countries,Manjula Nahasapeemapetilon
814,Characters from different countries,Yutaka Nakamura
818,Characters from different countries,Norwegian exchange student
819,Characters from different countries,Omar Stillman
820,Characters from different countries,Oovilu-Eeoo-Kitana-Wanjay
821,Characters from different countries,Osama
822,Characters from different countries,Otm Shank
824,Characters from different countries,Pazuzu
825,Characters from different countries,Pepi
826,Characters from different countries,Petrovichnyamilenkossarian
827,Characters from different countries,Police Officer (Krusty Gets Busted) 1
828,Characters from different countries,Police Officer (The Crepes of Wrath)
830,Characters from different countries,Pontius Pilate
831,Characters from different countries,Pope John Paul II
832,Characters from different countries,Pope's advisor
833,Characters from different countries,Portuguese Boy
835,Characters from different countries,Harry Potter (character)
836,Characters from different countries,Presidente
837,Characters from different countries,Presidente's Translator
838,Characters from different countries,Prius Albertson
839,Characters from different countries,Pyramus
840,Characters from different countries,Qtoktok
841,Characters from different countries,Ravi Shankar
842,Characters from different countries,Romanian Characters
843,Characters from different countries,Ronaldo (Blame It on Lisa)
845,Characters from different countries,Russian Representative
846,Characters from different countries,Sakatumi
849,Characters from different countries,Scratchem
851,Characters from different countries,Sick Japanese Worker
852,Characters from different countries,Sigrín Siguðardóttir
853,Characters from different countries,Brit Simpson
854,Characters from different countries,Lily Simpson
855,Characters from different countries,Magpie Simpson
856,Characters from different countries,Marnie Simpson
857,Characters from different countries,Orville Simpson
858,Characters from different countries,Singaporean Girl
862,Characters from different countries,Señor Spielbergo
864,Characters from different countries,Moe Szyslak
867,Characters from different countries,The Gator Baiter Guy
868,Characters from different countries,The Genie
869,Characters from different countries,Thisbe
870,Characters from different countries,Thorbjørn
871,Characters from different countries,Tiago
872,Characters from different countries,Ugolin
873,Characters from different countries,Vladimir Lenin
874,Characters from different countries,Von Krusten
876,Characters from different countries,Xoxchitla
877,Characters from different countries,Yakuza Boss
879,Characters from different countries,Yupprechaun
880,Characters from different countries,Zutroy
1081,Citizens of Shelbyville,Aristotle Amadopolis
1082,Citizens of Shelbyville,Black Weasel
1083,Citizens of Shelbyville,Carla Powell
1084,Citizens of Shelbyville,Chuck Muntz
1085,Citizens of Shelbyville,Arthur Crandall
1086,Citizens of Shelbyville,Donny (The Debarted)
1087,Citizens of Shelbyville,Gabbo
1088,Citizens of Shelbyville,Groundskeeper Wilma
