,categ_location,location
0,Accommodations,1 Ocean View Drive
1,Accommodations,15201 Maple Systems Road
2,Accommodations,19 Fish Smell Drive
3,Accommodations,257th Street
4,Accommodations,316 Pikeland Ave.
5,Accommodations,534 Center Street
6,Accommodations,57 Walnut Street
7,Accommodations,652 8th Avenue
8,Accommodations,725 Evergreen Terrace
9,Accommodations,732 Evergreen Terrace
10,Accommodations,734 Evergreen Terrace
11,Accommodations,738 Evergreen Terrace
12,Accommodations,740 Evergreen Terrace (Brown House)
13,Accommodations,742 Evergreen Terrace
14,Accommodations,743 Evergreen Terrace
15,Accommodations,754 Evergreen Terrace
16,Accommodations,82 Evergreen Terrace
17,Accommodations,Abe's and Selma's House
18,Accommodations,Alberto's House
19,Accommodations,Alec and Kim's house
21,Accommodations,Aphrodite Inn
22,Accommodations,Apu's apartment
23,Accommodations,Bachelor Arms
24,Accommodations,Barney's apartment
25,Accommodations,Bates Motel
26,Accommodations,Bill & Edwina's Tour-Rest Cabins
27,Accommodations,Bin Laden family's house
28,Accommodations,Birthplace of Jebediah Springfield
29,Accommodations,Birthplace of Jesus (Disputed)
30,Accommodations,Birthplace of Matt Groening
31,Accommodations,Bob's Victorian House
32,Accommodations,Boise Astoria
33,Accommodations,Bouvier House
34,Accommodations,Broken Dreams Storage Lockers
35,Accommodations,Buckingham Pay-less Motel
36,Accommodations,Burns Manor
37,Accommodations,Bush House
38,Accommodations,Chateau Maison
39,Accommodations,Colonel Burns' Manor
40,Accommodations,Condos at Towne Centre at Springfield Glenne
41,Accommodations,Courtyard by Airport
42,Accommodations,The Creator's Mansion
43,Accommodations,Dayton Arms Hotel
44,Accommodations,Dexter family's house
45,Accommodations,Elizabeth Hoover's House
46,Accommodations,Fat Tony's house
47,Accommodations,Fiesta Terraces
48,Accommodations,Four Seasons
49,Accommodations,German Castle
50,Accommodations,Gold House
51,Accommodations,Hal Roach Apartments
52,Accommodations,Hiram Simpson's house
53,Accommodations,Hollywood Hotel
54,Accommodations,Home of Tomorrow
55,Accommodations,Homer and Mindy's Mansion
56,Accommodations,Hotel
59,Accommodations,Karl's Apartment
60,Accommodations,Kent Brockman's mansion
61,Accommodations,Kozy Kabins
62,Accommodations,Krusty's Apartment
63,Accommodations,Krusty's Mansion
64,Accommodations,La Maison Derrière
65,Accommodations,Lenny Leonard's house
66,Accommodations,Lisa's House (future)
67,Accommodations,Low Quality Inn
68,Accommodations,Maggie's Imaginary Future House
69,Accommodations,Mav's and Portia's house
70,Accommodations,Mav's and Portia's ski house
71,Accommodations,Mayor Quimby's mansion
72,Accommodations,Mike's House
73,Accommodations,Moe's Apartment
74,Accommodations,Moeview Motel
75,Accommodations,Motel
76,Accommodations,Mountain Lodge
77,Accommodations,Mrs. Bellamy's House
78,Accommodations,Murder House
79,Accommodations,Old Jewish Man's House
80,Accommodations,Old Simpson Farm
81,Accommodations,Palm Springfield Resort
82,Accommodations,The Peak Inn
83,Accommodations,Peanut Street Hotel
84,Accommodations,Pepi's House
85,Accommodations,Pillowmint Hotel
86,Accommodations,Prince House
87,Accommodations,Quantity Inn
88,Accommodations,Quimbebunkport Estates
89,Accommodations,Rainier Wolfcastle's Mansion
90,Accommodations,Rancho Relaxo
91,Accommodations,The Raven Chamber
92,Accommodations,Rio Days-Inn-Ero
93,Accommodations,Royal King Trailer Park
94,Accommodations,Royal Tokyo
95,Accommodations,Second-Best Western Hotel
96,Accommodations,Sherri and Terri's House
97,Accommodations,Simpson House Boat
98,Accommodations,Ski Chalet
99,Accommodations,Skinner's House
100,Accommodations,Sleep-Eazy Motel
101,Accommodations,Smooches On The Beach
102,Accommodations,Snuggler's Cove
103,Accommodations,Spinster City Apartments
104,Accommodations,Springfield Animal Shelter
105,Accommodations,Springfield Arms
106,Accommodations,Springfield Bachelor Apartments
107,Accommodations,Springfield Four Seasons
108,Accommodations,Springfield Orphanage
109,Accommodations,Springfield Palace Hotel
110,Accommodations,Spuckler Home
111,Accommodations,Stacy Lovell's House
112,Accommodations,Starlight Motel
113,Accommodations,Swell-Air Hotel
114,Accommodations,Taylor House
115,Accommodations,The Benny Hilton
116,Accommodations,The Happy Earwig Motel
117,Accommodations,The Happy Gypsy
118,Accommodations,The Helter Shelter
119,Accommodations,The Lofts at Springfield Elementary
120,Accommodations,The Lonely Arms
121,Accommodations,The Ritz-Carlton Hotel for Transients
122,Accommodations,The Royal Fart Inn
123,Accommodations,The Snowed Inn
124,Accommodations,The Starlight Motel
125,Accommodations,The Webs at Giant Spider Acres
126,Accommodations,Victim's house
127,Accommodations,Village Apartments
128,Accommodations,Virgil Simpson's house
129,Accommodations,Waylon Smithers' house
130,Accommodations,White House
131,Accommodations,Who's To Know Motel
132,Accommodations,Willie's shack
133,Accommodations,Woosterfield Hotel
134,Accommodations,Worst Western
135,Accommodations,Ye Olde Off-Ramp Inn
136,Accommodations,Ziff Mansion
137,Airports,Airport le Paris
138,Airports,Airport Refueling Way (bus stop)
139,Airports,Albanian Airport
140,Airports,Capital City Airport
141,Airports,Dulles International Airport
142,Airports,Heathrow Airport
143,Airports,Heathrow Teleport Departures
144,Airports,Iowa Non-International Airport
145,Airports,Kwazy Klown Airlines
146,Airports,Miami Airport
147,Airports,Springfield Airways
148,Airports,Springfield International Airport
149,Airports,The Hague Airport
150,Arcades and fun centers,Captain Blip's Zapateria
151,Arcades and fun centers,Colonel Tex's Traveling Carnival
152,Arcades and fun centers,Diz-Nee Land
153,Arcades and fun centers,Elm Street Video Arcade
154,Arcades and fun centers,Family Fun Center
